transaction_id,date,description,debit,credit,balance
TXN001,2026-01-01,Opening Balance,0,200000,200000
TXN002,2026-01-03,Customer Payment ABC Traders,0,85000,285000
TXN003,2026-01-05,Office Rent,40000,0,245000
TXN004,2026-01-07,Employee Salary Payment,55000,0,190000
TXN005,2026-01-10,Supplier Payment XYZ Wholesale,32000,0,158000
TXN006,2026-01-13,Customer Payment Retail Sales,0,72000,230000
TXN007,2026-01-15,Business Loan EMI,18000,0,212000
TXN008,2026-01-18,Electricity Bill,6500,0,205500
TXN009,2026-01-20,Internet Bill,3500,0,202000
TXN010,2026-01-22,Cash Withdrawal ATM,15000,0,187000
TXN011,2026-01-25,Online Sales Receipt,0,64000,251000
TXN012,2026-01-27,Marketing Advertisement,12000,0,239000
TXN013,2026-01-29,GST Tax Payment,22000,0,217000
TXN014,2026-01-31,Supplier Packaging Payment,18000,0,199000
TXN015,2026-02-03,Customer Payment ABC Traders,0,90000,289000
TXN016,2026-02-05,Office Rent,40000,0,249000
TXN017,2026-02-07,Employee Salary Payment,55000,0,194000
TXN018,2026-02-10,Supplier Payment XYZ Wholesale,35000,0,159000
TXN019,2026-02-13,Customer Payment Retail Sales,0,70000,229000
TXN020,2026-02-15,Business Loan EMI,18000,0,211000
TXN021,2026-02-18,Electricity Bill,7000,0,204000
TXN022,2026-02-20,Internet Bill,3500,0,200500
TXN023,2026-02-23,Online Sales Receipt,0,62000,262500
TXN024,2026-02-27,GST Tax Payment,21000,0,241500
TXN025,2026-02-28,Supplier Packaging Payment,19000,0,222500
TXN026,2026-03-03,Customer Payment ABC Traders,0,78000,300500
TXN027,2026-03-05,Office Rent,40000,0,260500
TXN028,2026-03-07,Employee Salary Payment,55000,0,205500
TXN029,2026-03-10,Supplier Payment XYZ Wholesale,36000,0,169500
TXN030,2026-03-15,Business Loan EMI,18000,0,151500
TXN031,2026-03-18,Electricity Bill,7200,0,144300
TXN032,2026-03-22,Online Sales Receipt,0,58000,202300
TXN033,2026-03-25,Unexpected Machine Repair,65000,0,137300
TXN034,2026-03-27,GST Tax Payment,20000,0,117300
TXN035,2026-03-30,Supplier Packaging Payment,19000,0,98300
